timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1499247592813,0,-148,-3.251953125E-5,47,53,39,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592813,0,-369,-8.10791015625E-5,47,53,39,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592814,0,-317,-6.96533203125E-5,47,53,39,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592814,0,-296,-6.50390625E-5,47,53,39,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592814,0,-322,-7.0751953125E-5,47,53,39,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592815,0,-318,-6.9873046875E-5,47,53,39,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592815,0,-275,-6.04248046875E-5,47,53,39,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592816,0,0,0.0,47,53,39,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592816,0,2,4.39453125E-7,47,53,39,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592817,0,-291,-6.39404296875E-5,47,53,39,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592817,0,-326,-7.163085937500001E-5,47,53,39,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592818,0,-322,-7.0751953125E-5,47,53,39,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592818,0,-273,-5.998535156250001E-5,47,53,39,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592819,0,36,7.91015625E-6,47,53,39,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592822,0,89,1.95556640625E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592823,0,92,2.021484375E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592823,0,34,7.4707031250000005E-6,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592824,0,-269,-5.9106445312499996E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592824,0,-267,-5.86669921875E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592825,0,27,5.9326171875000005E-6,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592826,0,85,1.86767578125E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592826,0,106,2.3291015625000003E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592827,0,90,1.9775390625E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592827,0,88,1.93359375E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592828,0,96,2.109375E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592829,0,67,1.4721679687500002E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592829,0,19,4.1748046875E-6,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592830,0,-265,-5.82275390625E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592830,0,-293,-6.43798828125E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592831,0,-280,-6.15234375E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592832,0,20,4.39453125E-6,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592832,0,51,1.1206054687499999E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592833,0,43,9.448242187500001E-6,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592833,0,40,8.7890625E-6,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592834,0,37,8.1298828125E-6,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592834,0,5,1.0986328125E-6,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592835,0,-286,-6.2841796875E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592835,0,-270,-5.9326171875E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592836,0,65,1.42822265625E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
1499247592837,0,-105,-2.30712890625E-5,47,53,76,908630,162546,25754,31196,15648,17445,16560,4244,Tag0,unknown
